GPA,Gender,breakfast,calories_chicken,calories_day,calories_scone,coffee,comfort_food,comfort_food_reasons,comfort_food_reasons_coded,cook,comfort_food_reasons_coded.1,cuisine,diet_current,diet_current_coded,drink,eating_changes,eating_changes_coded,eating_changes_coded1,eating_out,employment,ethnic_food,exercise,father_education,father_profession,fav_cuisine,fav_cuisine_coded,fav_food,food_childhood,fries,fruit_day,grade_level,greek_food,healthy_feeling,healthy_meal,ideal_diet,ideal_diet_coded,income,indian_food,italian_food,life_rewarding,marital_status,meals_dinner_friend,mother_education,mother_profession,nutritional_check,on_off_campus,parents_cook,pay_meal_out,persian_food,self_perception_weight,soup,sports,thai_food,tortilla_calories,turkey_calories,type_sports,veggies_day,vitamins,waffle_calories,weight
2.0,2.0,1.0,430.0,3.0283018867924527,315.0,1.0,,,2.435534591194968,2.0,2.425,1.3888888888888888,16.90909090909091,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,5.0,,,3.0,1.0,,1.0,5.0,2.0,5.0,2.0,3.0,169.66666666666666,8.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,,5.0,1.0,1.0,2.0,5.0,3.0,1.0,1.0,1.0,1165.0,345.0,,5.0,1.0,1315.0,187.0
3.0,1.0,1.0,610.0,3.0,420.0,2.0,,,1.0,3.0,1.0,1.0,16.90909090909091,2.0,2.0,3.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,,,1.0,1.0,,1.0,4.0,4.0,4.0,5.0,3.0,5.0,3.0,4.0,4.0,4.0,1.0,2.0,1.0,4.0,,4.0,1.0,1.0,4.0,4.0,3.0,1.0,1.0,2.0,725.0,690.0,,4.0,2.0,900.0,155.0
3.0,1.0,1.0,720.0,4.0,420.0,2.0,,,1.0,1.0,1.0,3.0,16.90909090909091,3.0,1.0,3.0,1.0,3.0,2.0,3.0,5.0,2.0,2.0,,,1.0,3.0,,1.0,5.0,3.0,5.0,6.0,3.0,169.66666666666666,6.0,6.0,5.0,5.0,7.0,2.0,1.0,2.0,,4.0,2.0,1.0,3.0,5.0,6.0,1.0,2.0,5.0,1165.0,500.0,,5.0,1.0,900.0,156.07438016528926
3.0,1.0,1.0,430.0,3.0,420.0,2.0,,,2.0,2.0,2.0,2.0,16.90909090909091,2.0,2.0,3.0,1.0,3.0,2.0,3.0,5.0,3.0,2.0,,,3.0,1.0,,1.0,4.0,4.0,5.0,7.0,3.0,169.66666666666666,2.0,6.0,5.0,5.0,2.0,2.0,1.0,4.0,,2.0,1.0,1.0,2.0,5.0,5.0,1.0,2.0,5.0,725.0,690.0,,3.0,1.0,1315.0,240.0
3.0,1.0,1.0,720.0,2.0,420.0,2.0,,,1.0,1.0,1.0,2.0,16.90909090909091,2.0,2.0,3.0,3.0,4.0,2.0,2.0,4.0,1.0,4.0,,,1.0,3.0,,1.0,4.0,4.0,4.0,6.0,3.0,169.66666666666666,2.0,6.0,2.0,5.0,1.0,1.0,1.0,5.0,,3.0,1.0,1.0,4.0,2.0,4.0,1.0,1.0,4.0,940.0,500.0,,4.0,2.0,760.0,190.0
2.0,1.0,1.0,610.0,3.0,980.0,2.0,,,4.0,3.0,4.0,1.3888888888888888,16.90909090909091,2.0,2.0,3.0,1.0,3.0,1.0,3.0,4.0,2.0,1.0,,,6.0,3.0,,1.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,1.0,5.0,5.0,4.0,2.0,1.0,1.0,,1.0,1.0,2.0,5.0,5.0,5.0,1.0,2.0,4.0,940.0,345.0,,1.0,2.0,1315.0,190.0
3.0,2.0,1.0,610.0,3.0,420.0,2.0,,,1.0,2.0,1.0,1.0,16.90909090909091,3.0,1.0,3.0,2.0,5.0,2.0,3.0,5.0,1.0,4.0,,,4.0,1.0,,1.0,4.0,4.0,5.0,4.0,3.0,169.66666666666666,2.0,4.0,5.0,5.0,8.0,1.0,1.0,4.0,,4.0,2.0,2.0,2.0,5.0,4.0,1.0,1.0,5.0,940.0,690.0,,4.0,1.0,1315.0,180.0
3.0,1.0,1.0,720.0,3.0,420.0,1.0,,,1.0,3.0,1.0,1.0,16.90909090909091,1.0,2.0,3.0,2.0,5.0,2.0,2.0,2.0,2.0,3.0,,,5.0,1.0,,1.0,5.0,2.0,3.0,3.0,3.0,169.66666666666666,2.0,5.0,1.0,3.0,3.0,1.0,1.0,2.0,,4.0,1.0,1.0,5.0,1.0,3.0,1.0,2.0,1.0,725.0,500.0,,4.0,2.0,1315.0,137.0
3.0,1.0,1.0,430.0,3.0283018867924527,420.0,1.0,,,2.0,3.0,2.0,1.0,16.90909090909091,1.0,1.0,3.0,2.0,8.0,5.0,2.0,5.0,1.5892857142857142,5.0,,,1.0,3.0,,1.0,4.0,1.0,5.0,7.0,3.0,169.66666666666666,6.0,5.0,5.0,5.0,8.0,2.0,1.0,5.0,,2.0,1.0,2.0,3.0,5.0,4.0,2.0,2.0,5.0,725.0,345.0,,3.0,2.0,760.0,180.0
3.0,1.0,1.0,430.0,3.0,315.0,2.0,,,1.0,3.0,1.0,1.0,16.90909090909091,1.0,1.0,3.0,1.0,3.0,3.0,3.0,5.0,1.0,5.0,,,1.0,1.0,,1.0,5.0,1.0,5.0,3.0,3.0,169.66666666666666,2.0,4.0,4.0,5.0,3.0,2.0,1.0,5.0,,5.0,1.0,3.0,3.0,4.0,3.0,1.0,1.0,4.0,580.0,345.0,,5.0,1.0,900.0,125.0
3.0,1.0,1.0,610.0,3.0,980.0,2.0,,,2.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,2.0,1.0,5.0,1.0,2.0,,,4.0,1.0,,1.0,5.0,3.0,1.0,9.0,3.0,169.66666666666666,7.0,3.0,1.0,5.0,8.0,1.0,1.0,4.0,,2.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,940.0,345.0,,5.0,2.0,900.0,116.0
3.0,1.0,1.0,720.0,4.0,420.0,2.0,,,3.0,3.0,3.0,1.0,16.90909090909091,1.0,1.0,3.0,1.4754098360655739,5.0,1.0,2.0,5.0,1.0,3.0,,,1.0,1.0,,1.0,5.0,2.0,5.0,1.0,3.0,169.66666666666666,2.0,5.0,5.0,5.0,1.0,2.0,1.0,4.0,,5.0,1.0,1.0,3.0,5.0,2.0,1.0,1.0,5.0,940.0,500.0,,5.0,1.0,900.0,110.0
3.0,2.0,1.0,430.0,3.0,420.0,2.0,,,3.0,5.0,3.0,1.0,16.90909090909091,1.0,2.0,3.0,2.0,5.0,1.0,3.0,4.0,3.0,3.0,,,4.0,3.0,,1.0,4.0,1.0,3.0,9.0,3.0,169.66666666666666,1.0,5.0,3.0,4.0,9.0,2.0,1.0,4.0,,2.0,1.0,2.0,2.0,3.0,5.0,2.0,1.0,3.0,940.0,500.0,,3.0,2.0,575.0,156.07438016528926
3.0,1.0,1.0,610.0,3.0,420.0,2.0,,,1.0,2.0,1.0,1.0,16.90909090909091,2.0,2.0,3.0,1.0,3.0,4.0,2.0,5.0,2.0,2.0,,,1.0,1.0,,1.0,5.0,3.0,4.0,8.0,3.0,169.66666666666666,2.0,5.0,3.0,5.0,10.0,2.0,1.0,4.0,,2.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,5.0,1165.0,850.0,,5.0,2.0,1315.0,123.0
3.0,2.0,1.0,610.0,3.0,420.0,2.0,,,2.0,3.0,2.0,1.0,16.90909090909091,1.0,2.0,3.0,3.0,4.0,2.0,3.0,4.0,2.0,4.0,,,4.0,3.0,,1.0,5.0,3.0,4.0,2.0,3.0,169.66666666666666,1.0,5.0,2.0,3.0,1.0,1.0,1.0,4.0,,2.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,4.0,940.0,500.0,,5.0,1.0,900.0,185.0
3.0,2.0,2.0,430.0,3.0283018867924527,980.0,2.0,,,2.0,4.0,2.0,1.0,16.90909090909091,2.0,2.0,3.0,3.0,4.0,4.0,3.0,1.0,1.0,5.0,,,1.0,2.0,,1.0,3.0,1.0,1.0,6.0,3.0,169.66666666666666,2.0,4.0,1.0,5.0,5.104838709677419,2.0,1.0,4.0,,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,940.0,345.0,,1.0,2.0,1315.0,180.0
4.0,1.0,1.0,265.0,3.0,420.0,1.0,,,1.0,3.0,1.0,1.3888888888888888,16.90909090909091,1.0,1.0,3.0,2.0,5.0,1.0,2.0,2.0,2.0,1.0,,,7.0,1.0,,1.0,5.0,1.0,2.0,7.0,3.0,169.66666666666666,2.0,1.0,5.0,3.0,9.0,2.0,1.0,2.0,,4.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,580.0,345.0,,5.0,1.0,760.0,145.0
3.0,2.0,1.0,430.0,3.0,980.0,2.0,,,2.0,3.0,2.0,1.0,16.90909090909091,3.0,2.0,3.0,1.0,2.0,2.0,3.0,4.0,1.0,2.0,,,5.0,3.0,,1.0,3.0,1.0,3.0,8.0,3.0,169.66666666666666,1.0,6.0,3.0,5.0,7.0,2.0,1.0,2.0,,4.0,1.0,1.0,6.0,2.0,2.0,1.0,1.0,3.0,940.0,500.0,,4.0,2.0,900.0,170.0
3.0,1.0,1.0,720.0,3.0,980.0,1.0,,,3.0,3.0,3.0,1.0,16.90909090909091,1.0,1.0,3.0,1.4754098360655739,6.0,3.0,2.0,1.0,3.0,5.0,,,5.0,3.0,,1.0,5.0,2.0,3.0,6.0,3.0,169.66666666666666,2.0,5.0,1.0,5.0,9.0,2.0,1.0,3.0,,2.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,1165.0,690.0,,5.0,1.0,1315.0,135.0
2.0,2.0,1.0,430.0,2.0,420.0,2.0,,,2.0,4.0,2.0,1.0,16.90909090909091,2.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,5.0,,,1.0,1.0,,1.0,2.0,1.0,3.0,4.0,3.0,169.66666666666666,3.0,5.0,2.0,5.0,7.0,1.0,1.0,4.0,,1.0,1.0,1.0,3.0,3.0,4.0,1.0,1.3902439024390243,3.0,940.0,345.0,,2.0,2.0,900.0,165.0
3.0,2.0,1.0,610.0,3.0,980.0,2.0,,,7.0,5.0,7.0,1.0,2.0,2.0,2.0,3.0,1.0,3.0,4.0,2.0,4.0,1.0,5.0,,,2.0,3.0,,1.0,2.0,2.0,2.0,5.0,3.0,3.0,1.0,6.0,1.0,4.0,2.0,1.0,1.0,4.0,,2.0,1.0,1.0,2.0,1.0,6.0,1.0,1.0,1.0,1165.0,850.0,,3.0,2.0,1315.0,175.0
3.0,2.0,1.0,610.0,3.0,315.0,1.0,,,2.0,3.0,2.0,3.0,16.90909090909091,2.0,1.5609756097560976,3.0,1.0,8.0,1.0,2.0,3.0,1.0,4.0,,,8.0,2.0,,1.0,3.0,4.0,5.0,8.0,3.0,169.66666666666666,7.0,6.0,5.0,5.0,7.0,2.0,1.0,2.0,,4.0,1.0,3.0,5.0,5.0,2.0,2.0,1.0,5.0,725.0,500.0,,2.0,2.0,900.0,195.0
3.0,2.0,1.0,610.0,3.0,420.0,1.0,,,3.0,5.0,3.0,2.0,16.90909090909091,1.0,1.0,3.0,1.0,3.0,1.0,2.0,3.0,1.0,4.0,,,1.0,1.0,,1.0,4.0,1.0,4.0,2.0,3.0,169.66666666666666,2.0,6.0,5.0,5.0,5.0,1.0,1.0,4.0,,3.0,1.0,3.0,5.0,2.0,2.0,1.0,1.0,4.0,940.0,850.0,,3.0,1.0,1315.0,185.0
3.0,2.0,2.0,610.0,3.0,420.0,2.0,,,1.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,7.0,2.0,2.0,5.0,3.0,4.0,,,4.0,1.0,,1.0,3.0,3.0,2.0,4.0,3.0,3.0,1.0,4.0,4.0,5.0,5.0,1.0,1.0,2.0,,2.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,4.0,940.0,690.0,,4.0,1.0,1315.0,185.0
3.0,1.0,1.0,720.0,2.0,420.0,2.0,,,6.0,1.0,6.0,1.0,16.90909090909091,1.0,2.0,3.0,1.0,2.0,4.0,3.0,4.0,1.5892857142857142,3.0,,,4.0,1.0,,1.0,4.0,3.0,5.0,5.0,3.0,169.66666666666666,2.0,4.0,3.0,5.0,2.0,2.0,1.0,2.0,,2.0,1.0,1.0,3.0,3.0,4.0,2.0,2.0,4.0,940.0,500.0,,4.0,2.0,1315.0,105.0
2.0,1.0,2.0,720.0,3.0,420.0,2.0,,,2.0,3.0,2.0,1.0,16.90909090909091,1.0,1.0,3.0,3.0,4.0,2.0,3.0,2.0,1.0,4.0,,,0.0,3.0,,1.0,4.0,1.0,3.0,8.0,3.0,169.66666666666666,2.0,6.0,3.0,3.0,5.0,1.0,1.0,3.0,,4.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,1165.0,690.0,,3.0,2.0,760.0,125.0
3.0,2.0,1.0,610.0,2.0,420.0,1.0,,,2.0,3.0,2.0,1.0,16.90909090909091,1.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,4.0,,,1.0,1.0,,1.0,3.0,2.0,1.0,9.0,3.0,169.66666666666666,5.0,5.0,1.0,5.0,9.0,2.0,1.0,2.0,,2.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1165.0,850.0,,3.0,2.0,1315.0,160.0
3.0,2.0,1.0,610.0,4.0,980.0,2.0,,,2.0,4.0,2.0,1.0,16.90909090909091,1.0,2.0,3.0,2.0,5.0,2.0,3.0,3.0,1.0,5.0,,,2.0,1.0,,1.0,5.0,1.0,3.0,9.0,3.0,169.66666666666666,6.0,6.0,3.0,4.0,9.0,2.0,1.0,5.0,,4.0,1.0,1.0,6.0,2.0,2.0,1.0,1.0,3.0,1165.0,500.0,,5.0,1.0,1315.0,175.0
3.0,2.0,1.0,610.0,2.0,420.0,2.0,,,2.0,2.0,2.0,2.0,16.90909090909091,2.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,,,1.0,1.0,,1.0,3.0,3.0,1.0,4.0,3.0,169.66666666666666,7.0,5.0,1.0,5.0,3.0,1.0,1.0,4.0,,5.0,1.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,940.0,500.0,,2.0,1.0,1315.0,180.0
3.0,2.0,1.0,265.0,2.0,420.0,2.0,,,2.0,3.0,2.0,1.3888888888888888,16.90909090909091,2.0,2.0,3.0,1.0,3.0,5.0,3.0,5.0,2.0,5.0,,,8.0,1.0,,1.0,5.0,3.0,3.0,9.0,3.0,169.66666666666666,7.0,5.0,5.0,5.0,10.0,1.0,1.0,5.0,,2.0,1.0,1.0,4.0,5.0,2.0,1.0,2.0,5.0,580.0,500.0,,4.0,1.0,760.0,167.0
4.0,1.0,1.0,720.0,3.0,420.0,2.0,,,1.0,3.0,1.0,1.0,16.90909090909091,1.0,1.0,3.0,1.0,7.0,3.0,2.0,4.0,2.0,2.0,,,2.0,2.0,,1.0,3.0,4.0,2.0,7.0,3.0,5.0,2.0,5.0,3.0,4.0,8.0,2.0,1.0,5.0,,4.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,940.0,500.0,,5.0,1.0,1315.0,115.0
4.0,2.0,1.0,610.0,3.0,420.0,2.0,,,1.0,2.0,1.0,1.0,16.90909090909091,2.0,2.0,3.0,3.0,4.0,2.0,3.0,5.0,2.0,4.0,,,1.0,1.0,,1.0,5.0,2.0,5.0,5.0,4.0,1500.0,1.0,4.0,4.0,5.0,3.0,1.0,1.0,2.0,,4.0,1.2790453710988723,1.0,3.0,3.0,4.0,2.0,2.0,4.0,940.0,690.0,,5.0,1.0,1315.0,205.0
3.0,2.0,1.0,610.0,3.0,315.0,2.0,,,4.0,5.0,4.0,1.3888888888888888,16.90909090909091,2.0,2.0,3.0,1.0,3.0,3.0,2.0,5.0,1.5892857142857142,5.0,,,2.0,1.7154471544715446,,1.0,4.0,4.0,5.0,5.0,3.0,169.66666666666666,7.0,5.0,5.0,5.0,8.0,1.0,1.0,5.0,,4.0,1.0,3.0,4.0,5.0,4.0,1.0,1.0,5.0,580.0,345.0,,5.0,1.0,760.0,135.0
2.0,1.0,1.0,720.0,3.0,420.0,1.0,,,2.0,4.0,2.0,2.0,16.90909090909091,2.0,1.0,3.0,1.0,3.0,2.0,3.0,4.0,3.0,4.0,,,1.0,1.0,,1.0,3.0,1.0,5.0,7.0,3.0,169.66666666666666,2.0,3.0,2.0,5.0,3.0,1.0,1.0,3.4262295081967213,,4.0,1.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,1165.0,500.0,,3.0,1.0,900.0,128.0
3.0,1.0,1.0,610.0,3.0,420.0,2.0,,,2.0,4.0,2.0,1.0,16.90909090909091,2.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,4.0,,,1.0,3.0,,1.0,5.0,1.0,3.0,1.0,3.0,169.66666666666666,7.0,6.0,1.0,5.0,3.0,1.0,1.0,4.0,,4.0,1.0,1.5,4.0,1.0,2.0,1.0,1.0,3.0,940.0,345.0,,4.0,1.0,1315.0,150.0
3.0,1.0,1.0,610.0,2.0,420.0,2.0,,,2.0,1.0,2.0,1.0,16.90909090909091,3.0,1.0,3.0,1.0,3.0,2.0,3.0,2.0,1.0,4.0,,,5.0,1.0,,1.0,5.0,3.0,3.0,2.0,3.0,169.66666666666666,6.0,4.0,1.0,5.0,3.0,2.0,1.0,4.0,,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,940.0,690.0,,5.0,2.0,760.0,150.0
3.0,1.0,1.0,610.0,3.0,420.0,2.0,,,2.0,3.0,2.0,1.3888888888888888,16.90909090909091,2.0,2.0,3.0,1.0,8.0,4.0,2.0,4.0,1.0,5.0,,,1.0,3.0,,1.0,5.0,2.0,3.0,7.0,3.0,169.66666666666666,5.0,6.0,2.0,5.0,7.0,1.0,1.0,2.0,,3.0,1.0,2.0,3.0,1.0,4.0,2.0,1.0,2.0,1165.0,500.0,,5.0,2.0,900.0,150.0
3.0,1.0,1.0,720.0,4.0,420.0,2.0,,,1.0,2.0,1.0,1.2836976320582878,16.90909090909091,2.0,2.0,3.0,1.0,3.0,2.0,2.0,4.0,3.0,2.0,,,1.0,1.0,,1.0,3.0,4.0,5.0,4.0,3.0,169.66666666666666,2.0,6.0,3.0,5.0,2.0,2.0,1.0,3.0,,4.0,1.0,1.0,4.0,3.0,4.0,1.0,1.0,5.0,940.0,500.0,,4.0,2.0,1315.0,170.0
3.0,1.0,1.0,610.0,3.0,980.0,2.0,,,2.0,3.0,2.0,1.0,16.90909090909091,1.0,1.0,3.0,1.0,2.0,2.0,3.0,4.0,2.0,4.0,,,1.0,1.0,,1.0,4.0,4.0,3.0,6.0,2.0,169.66666666666666,2.0,5.0,3.0,5.0,8.0,2.0,1.0,4.0,,4.0,1.0,1.0,3.0,3.0,4.0,1.0,1.0,2.0,1165.0,690.0,,3.0,2.0,1315.0,150.0
3.0,2.0,1.0,720.0,3.0283018867924527,980.0,2.0,,,2.435534591194968,5.0,2.425,1.0,16.90909090909091,2.0,2.0,3.0,1.0,2.0,5.0,3.0,3.0,1.0,5.0,,,2.0,1.0,,1.0,5.0,4.0,1.0,3.0,3.0,169.66666666666666,2.0,6.0,3.0,4.0,5.0,2.0,1.0,2.0,,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1165.0,690.0,,3.0,2.0,1315.0,175.0
